name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ciudad de Oaxaca,01/06/2000,27.4,20.2,24.1,27.2,20.2,24.1,13.6,52.6,,0,0,,,,,7.2,54.3,,66,17.6,,,,,2000-06-01T06:55:51,2000-06-01T20:01:35,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,02/06/2000,28.7,16.1,21.8,27.7,16.1,21.5,12.9,62.1,,0,0,,,,,7.2,45,,46.7,15,,,,,2000-06-02T06:55:49,2000-06-02T20:01:56,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,03/06/2000,27.7,14.9,21.2,27.2,14.9,21,11.9,58.9,,0,0,,,,,7.2,22.5,,30,20,,,,,2000-06-03T06:55:48,2000-06-03T20:02:16,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,04/06/2000,30.2,27.1,28.7,28.8,26.7,27.8,10.3,32.2,,0,0,,,,,3.6,255,,30,20,,,,,2000-06-04T06:55:48,2000-06-04T20:02:37,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,05/06/2000,27.4,15.4,20.2,27,15.4,20.1,13.6,69.1,,0,0,,,,,7.2,266.3,,66,15.2,,,,,2000-06-05T06:55:49,2000-06-05T20:02:57,0.11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,06/06/2000,23.9,17.1,20.7,23.9,17.1,20.7,15.4,73,,0,0,,,,,3.6,340,,93.3,16,,,,,2000-06-06T06:55:51,2000-06-06T20:03:17,0.15,Overcast,Cloudy skies throughout the day.,cloudy,76773099999
Ciudad de Oaxaca,07/06/2000,25.9,17.1,20.8,25.9,17.1,20.8,15.9,76,,0,0,,,,,3.6,222.5,,90,13.3,,,,,2000-06-07T06:55:53,2000-06-07T20:03:36,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,08/06/2000,25.2,18.2,21.8,25.2,18.2,21.8,15.9,70.7,,0,0,,,,,3.6,165,,82.5,12,,,,,2000-06-08T06:55:57,2000-06-08T20:03:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,09/06/2000,22.2,17.4,19.4,22.2,17.4,19.4,16.2,82.5,,0,0,,,,,3.6,225,,96.7,8,,,,,2000-06-09T06:56:01,2000-06-09T20:04:15,0.25,Overcast,Cloudy skies throughout the day.,cloudy,76773099999
Ciudad de Oaxaca,10/06/2000,25.1,18.7,21.1,25.1,18.7,21.1,16.5,76.2,,0,0,,,,,3.6,160,,76.7,11.7,,,,,2000-06-10T06:56:06,2000-06-10T20:04:33,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,11/06/2000,24.1,17.1,20.4,24.1,17.1,20.4,16.8,81.4,,0,0,,,,,3.6,240,,80,9.3,,,,,2000-06-11T06:56:12,2000-06-11T20:04:51,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,12/06/2000,25.7,17.4,22.2,25.7,17.4,22.2,15.8,69.7,,0,0,,,,,3.6,120,,80,13.3,,,,,2000-06-12T06:56:19,2000-06-12T20:05:09,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,13/06/2000,26.9,16.9,22.9,27,16.9,22.9,14.3,62.3,,0,0,,,,,3.6,90,,70,14.7,,,,,2000-06-13T06:56:26,2000-06-13T20:05:26,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,14/06/2000,24.9,17.7,20,24.9,17.7,20,16,79.5,,0,0,,,,,3.6,90,,90,8.3,,,,,2000-06-14T06:56:35,2000-06-14T20:05:43,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,15/06/2000,22.9,17.7,19.4,22.9,17.7,19.4,16.4,83.5,,0,0,,,,,3.6,150,,96.7,7.7,,,,,2000-06-15T06:56:44,2000-06-15T20:05:59,0.46,Overcast,Cloudy skies throughout the day.,cloudy,76773099999
Ciudad de Oaxaca,16/06/2000,24.7,17.9,21.9,24.7,17.9,21.9,16,70.8,,0,0,,,,,3.6,270,1014.1,70,18,,,,,2000-06-16T06:56:53,2000-06-16T20:06:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,17/06/2000,24.6,17.4,20.6,24.6,17.4,20.6,16.7,80.4,,0,0,,,,,3.6,195,,80,18,,,,,2000-06-17T06:57:04,2000-06-17T20:06:30,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,18/06/2000,23.4,17.1,19.7,23.4,17.1,19.7,16.6,83.5,,0,0,,,,,3.6,180,,80,13.7,,,,,2000-06-18T06:57:15,2000-06-18T20:06:45,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,19/06/2000,24.2,19.2,21.7,24.2,19.2,21.7,15.3,68.6,,0,0,,,,,7.2,99.9,,85,20,,,,,2000-06-19T06:57:27,2000-06-19T20:06:59,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,20/06/2000,23.2,17.4,20.3,23.2,17.4,20.3,13.7,66.4,,0,0,,,,,10.8,75,,90,15,,,,,2000-06-20T06:57:39,2000-06-20T20:07:12,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,76773099999
Ciudad de Oaxaca,21/06/2000,24.2,15.7,20.3,24.2,15.7,20.3,15.2,74.6,,0,0,,,,,3.6,280.9,,95,18.5,,,,,2000-06-21T06:57:52,2000-06-21T20:07:25,0.66,Overcast,Cloudy skies throughout the day.,cloudy,76773099999
