datetime,tempmax,tempmin,humidity,precip,windspeed,sealevelpressure,cloudcover,solarradiation
01/06/2010,36.2,14.9,54.8,0,22,1008.8,25.1,344.2
02/06/2010,35.1,14.7,46.4,0,22.3,1005.4,26.9,338
03/06/2010,34.4,14.7,54.6,0,25.9,1005.4,51.1,333.5
04/06/2010,36.2,16.2,61.5,0,25.6,1004.4,64.3,276.8
05/06/2010,32.3,19.5,68.4,2.1,26.3,1006.6,69.4,291.8
06/06/2010,33,16.2,63.6,0,23,1008,57,290.2
07/06/2010,34.9,19.1,55.8,2.7,23.8,1011.6,73.8,301.8
08/06/2010,33.1,17.1,64.8,0.6,19.8,1009.9,73.1,212.1
09/06/2010,33.1,15.4,70.9,2.5,14.8,1009.1,78.1,158.4
10/06/2010,33.1,16.9,77.9,3.1,15.8,1006.8,85.3,139.8
11/06/2010,30.2,19.2,80.1,14.7,15.1,1008.4,87.2,158
12/06/2010,29.8,12.2,74.8,9.7,17.6,1010,83.6,226.2
13/06/2010,29.7,17.9,78,11.9,14.8,1008.2,87.5,196.3
14/06/2010,27.7,17.7,79.4,12.5,14,1007.1,87.4,148.5
15/06/2010,29.7,19.1,81.5,30.2,14.4,1006.6,93.9,176
16/06/2010,26.1,18.2,84,26.2,14.4,1008.2,96.3,153.3
17/06/2010,24.7,18.4,88.1,26.6,13,1009.4,97.3,93.7
18/06/2010,27,17.9,79.4,2,13.3,1010.7,86.9,202.1
19/06/2010,27.9,13.1,75.4,1.2,12.6,1012.1,68,201.7
20/06/2010,28.1,14.2,73.1,2.5,10.8,1008.7,79.4,192.2
21/06/2010,32.2,16.9,72.9,5,17.3,1006.9,81.2,225.4
22/06/2010,31.1,16.2,74.2,0.8,15.5,1008.1,84.6,266.7
23/06/2010,31.7,15.2,74.5,1.8,16.2,1009,74.1,236.9
24/06/2010,27.3,17.7,75.6,1.1,8.3,1011.3,85.9,141.1
25/06/2010,28.9,18.1,75.5,0,14.4,,87.4,205
26/06/2010,26.7,20.2,82.6,11,16.2,,79.6,153.5
27/06/2010,26,20.1,90,11,19.1,,84.6,152.3
28/06/2010,23.1,18.1,87.7,17.5,12.6,,93.5,120.7
29/06/2010,23.5,18.4,92,27.9,19.4,,91.9,148.4
30/06/2010,24.3,18.1,89.6,42.6,18.7,,79.6,271.2
01/06/2011,32.7,19.3,56,0,19.8,,85.9,226.4
02/06/2011,29.1,18.5,55.4,0,16.6,,79.2,167.2
03/06/2011,31.9,18.7,62.8,0,19.8,1006.1,76.3,201.9
04/06/2011,32.4,15.2,66.5,0,18,1008.7,85.5,173.9
05/06/2011,33.9,14.4,60,0,23.4,1010.2,82.6,305.9
06/06/2011,31.8,17.1,62.2,0,23.4,1006,71.6,269.5
07/06/2011,31.7,16.2,69.5,2,16.6,1006.2,83.5,210.5
08/06/2011,33.2,15.7,72.5,0.5,17.3,1006.9,80.7,155.1
09/06/2011,32.2,16.1,67.3,1.5,20.5,1005.9,77.6,236.9
10/06/2011,30.6,16.1,72,0.4,19.8,1006.5,70.2,205.7
11/06/2011,30.2,16.6,76.6,0.7,14.4,1005.6,75.7,99.8
12/06/2011,31.5,18.4,65.2,7.6,19.8,1005.8,64.3,280.4
13/06/2011,31.4,17.4,71.8,6.2,21.6,1007.7,84.6,238.9
14/06/2011,31.8,15.7,69.3,2.1,19.8,1008.7,83.3,249.5
15/06/2011,26.8,17.4,85.3,7.7,18,1008.6,92,147
16/06/2011,28,16.4,78.6,10.2,16.9,1007,86.3,234
17/06/2011,30.1,16.2,76.5,13.5,17.3,1005.5,74.2,209.9
18/06/2011,28.4,15.7,78.2,3.2,18,1009,82.2,124.2
19/06/2011,28.7,16.2,81.5,4.6,24.5,1006.2,94.5,105.1
20/06/2011,24.3,18.9,85.3,35.1,17.3,1006.5,92.7,158.2
21/06/2011,25.7,16.7,80.1,3.6,13,1008.8,92.3,179.4
22/06/2011,28.8,16.2,80.3,3.9,18,1010.3,83.3,239.8
23/06/2011,28.7,17.2,79.5,4.8,15.8,1008.8,86.8,237.7
24/06/2011,28.4,16.9,88.7,20.3,14.8,1008.2,85.4,113.5
25/06/2011,27.7,17.2,82.9,11.9,14.4,1007.7,81.9,231
26/06/2011,28.8,17.7,78.6,17.1,14.4,1005.7,76.6,253.1
27/06/2011,29.9,16.2,84.3,8.5,17.6,1007.2,87,215.5
28/06/2011,26.1,16.7,85,26.5,19.1,1007.6,89.3,165.2
29/06/2011,25,16.9,84.5,20.2,13.7,1007.4,95.4,270.8
30/06/2011,22.3,17.7,88.5,24.3,15.1,1006.5,97,133.6
01/06/2012,33.9,18.1,76.6,0.8,22.7,1006.7,76.8,206.1
02/06/2012,30.9,16.4,70.5,0,8.3,1006.9,80.2,117.3
03/06/2012,29.4,16.1,69.5,1,13,1008.7,74.8,167.8
04/06/2012,28.7,16.4,78,0.7,16.6,1008.8,82,140.7
